name,brand,rating,price_bdt,release_year,os,display_inches,camera_megapixel,ram_gb,battery_mah
Cubot A30,Cubot,6.4,0.0,"2024,",Android 14,6.75,48,6,5100.0
Vivo iQOO Neo10 Pro (China),Vivo,8.9,62000.0,"2024, November 29",Android 15,6.78,50,12,6100.0
Vivo iQOO Neo10 (China),Vivo,8.3,38000.0,"2024, November 29",Android 15,6.78,50,3,6100.0
Realme V60 Pro,Realme,7.0,30000.0,"2024, November 28",Android 14,6.67,50,12,5600.0
Lava Yuva 4,Lava,6.5,12000.0,"2024, November",Android 14,6.56,50,4,5000.0
Vivo S20 Pro,Vivo,8.5,60000.0,"2024, December 12",Android 15,6.67,50,12,5500.0
Vivo S20,Vivo,8.0,45000.0,"2024, December 06",Android 15,6.67,50,3,6500.0
Walton XANON X21,Walton,7.0,22856.0,"Exp. 2024, November",Android 14,6.8,64,16,5000.0
Meizu mBlu 21,Meizu,6.5,15000.0,"2024, November",Android 14,6.79,13,4,4900.0
Xiaomi Redmi K80 Pro,Xiaomi,9.4,73000.0,"2024, November 27",Android 15,6.67,50,8,6000.0
Xiaomi Redmi K80,Xiaomi,8.8,38000.0,"2024, November 27",Android 15,6.67,50,3,6550.0
Realme C75 4G,Realme,7.4,19999.0,"2024, December 01",Android 14,6.72,50,6,6000.0
Huawei Mate 70 RS Ultimate,Huawei,9.8,200000.0,"2024, December",HarmonyOS 4.3,6.9,50,16,5700.0
Huawei Mate 70 Pro+,Huawei,9.9,220000.0,"2024, November 26",HarmonyOS 4.3,6.9,50,16,5700.0
Huawei Mate 70 Pro,Huawei,9.4,195000.0,"2024, November 26",HarmonyOS 4.3,6.9,50,12,5500.0
Huawei Mate 70,Huawei,8.6,95000.0,"2024, November 26",HarmonyOS 4.3,6.7,50,12,5300.0
Huawei Mate X6,Huawei,9.4,220000.0,"2024, December 19",HarmonyOS 4.3,7.93,50,12,5110.0
Oppo Reno13 Pro,Oppo,8.6,65000.0,"2024, November 29",Android 15,6.83,50,12,5800.0
Oppo Reno13,Oppo,8.0,69990.0,"2024, November 29",Android 15,6.59,50,8,5600.0
Tecno Pop 9 4G,Tecno,5.5,10000.0,"2024, November 26",Android 14,6.67,13,3,5000.0
Blackview Wave 8C,Blackview,5.4,10000.0,"2024, November",Android 14,6.56,13,2,5000.0
Blackview Wave 8,Blackview,5.8,12000.0,"2024, November",Android 14,6.56,13,4,5000.0
ZTE Blade V70 Design,ZTE,6.4,11999.0,"2024, November 28",Android 14,6.7,50,4,5000.0
Sonim XP Pro,Sonim,5.0,70000.0,"2024, November 21",Android 14,6.58,50,3,5000.0
Vivo Y300,Vivo,7.1,35000.0,"2024, November 26",Android 14,6.67,50,2,5000.0
Honor Play9A,Honor,5.3,15000.0,"2024, November",Android 14,6.56,13,4,5200.0
Asus ROG Phone 9 Pro,Asus,9.8,145000.0,"2024, November 20",Android 15,6.78,50,8,5800.0
Asus ROG Phone 9,Asus,8.9,135000.0,"2024, November 20",Android 15,6.78,50,8,5800.0
Vivo V50,Vivo,7.6,62999.0,"2025, February 25",Android 15,6.77,50,3,6000.0
